TimeStamp,ch1,ch2,ch3,ch4
2019521.9387,20613.24,9760.86,14659.74,41397.15
2019521.9427,20632.08,9755.9,14641.72,41380.22
2019521.9467,20611.96,9746.6,14635.47,41378.07
2019521.9507,20593.93,9746.12,14648.25,41393.09
2019521.9547,20591.21,9750.27,14659.74,41405.06
2019521.9587,20621.54,9759.05,14661.55,41403.25
2019521.9627,20633.41,9751.37,14646.87,41384.18
2019521.9667,20614.72,9747.55,14644.2,41382.94
2019521.9707,20592.64,9746.55,14653.4,41392.38
2019521.9747,20583.2,9752.32,14664.79,41402.96
2019521.9787,20608.86,9755.66,14656.55,41393.67
2019521.9827,20629.46,9746.93,14641.81,41380.46
2019521.9867,20618.01,9748.32,14646.01,41387.47
2019521.9907,20606.33,9758.66,14665.18,41411.07
2019521.9947,20599.84,9762.34,14675.52,41425.28
2019521.9987,20624.45,9768.87,14672.09,41415.41
2019522.0027,20641.95,9764.72,14661.36,41394.24
2019522.0067,20622.21,9754.75,14654.5,41386.99
2019522.0107,20599.99,9751.46,14657.69,41395.48
2019522.0147,20590.5,9754.33,14664.32,41403.73
2019522.0187,20612.91,9756.85,14659.22,41396.29
2019522.0227,20633.99,9760.29,14647.91,41383.18
2019522.0267,20615.48,9758.38,14649.35,41382.46
2019522.0307,20597.08,9759.57,14660.65,41396.15
2019522.0347,20586.3,9755.95,14665.32,41402.06
2019522.0387,20618.97,9760.52,14664.94,41399.48
2019522.0427,20635.89,9758.43,14652.87,41385.08
2019522.0467,20619.11,9757.62,14653.35,41393.57
2019522.0507,20600.18,9756.33,14658.79,41405.68
2019522.0547,20590.69,9759.47,14665.32,41413.69
2019522.0587,20612.19,9755.8,14656.45,41403.49
2019522.0627,20628.79,9749.08,14637.42,41382.13
2019522.0667,20621.45,9754.18,14643.81,41385.23
2019522.0706,20603.61,9758.76,14656.74,41397.86
2019522.0746,20592.84,9761.38,14665.18,41407.02
2019522.0786,20618.82,9760.09,14661.03,41398.15
2019522.0826,20633.65,9758.47,14649.35,41378.41
2019522.0866,20613.58,9753.71,14645.29,41377.74
2019522.0906,20597.13,9751.27,14657.17,41395.0
2019522.0946,20596.27,9754.09,14675.0,41413.55
2019522.0986,20630.27,9771.54,14677.91,41414.41
2019522.1026,20636.37,9772.21,14653.02,41383.18
2019522.1066,20608.9,9761.48,14642.72,41375.5
2019522.1106,20593.93,9761.81,14654.88,41393.19
2019522.1146,20597.84,9771.83,14669.9,41412.31
2019522.1186,20622.4,9770.92,14658.79,41399.53
2019522.1226,20640.28,9762.24,14646.91,41386.75
2019522.1266,20621.35,9760.57,14643.62,41385.23
2019522.1306,20599.75,9759.33,14649.44,41399.44
2019522.1346,20593.65,9760.09,14663.32,41416.55
2019522.1386,20616.15,9757.42,14658.17,41409.45
2019522.1426,20643.71,9765.91,14649.82,41400.1
2019522.1466,20628.74,9771.49,14655.31,41401.53
2019522.1506,20612.15,9776.26,14672.95,41419.22
2019522.1546,20606.85,9780.5,14686.49,41431.24
2019522.1586,20626.36,9779.07,14673.43,41413.03
2019522.1626,20643.9,9775.35,14659.31,41395.0
2019522.1666,20630.17,9774.02,14659.93,41399.72
2019522.1706,20609.81,9775.69,14673.14,41414.93
2019522.1746,20605.76,9781.36,14686.68,41430.48
2019522.1786,20638.61,9784.41,14676.38,41421.28
2019522.1826,20652.06,9770.06,14652.87,41396.86
2019522.1866,20626.02,9760.52,14646.48,41389.37
2019522.1906,20602.85,9769.01,14660.41,41403.68
2019522.1946,20590.31,9771.4,14667.61,41411.79
2019522.1986,20620.78,9770.25,14660.17,41405.64
2019522.2026,20639.47,9764.53,14647.06,41390.33
2019522.2066,20623.21,9764.34,14651.2,41394.05
2019522.2106,20602.28,9768.25,14667.56,41412.64
2019522.2146,20595.74,9773.97,14679.62,41421.61
2019522.2186,20623.88,9774.88,14675.29,41410.31
2019522.2226,20645.0,9773.06,14662.17,41397.15
2019522.2266,20623.59,9770.2,14655.31,41397.24
2019522.2306,20604.04,9772.64,14666.99,41415.74
2019522.2346,20604.09,9782.27,14689.26,41435.34
2019522.2386,20625.78,9784.89,14686.97,41427.43
2019522.2426,20638.18,9774.59,14664.7,41403.11
2019522.2466,20619.59,9767.91,14659.22,41399.63
2019522.2506,20596.94,9773.06,14667.7,41411.55
2019522.2546,20582.58,9771.59,14670.28,41413.69
2019522.2586,20603.47,9766.25,14657.4,41399.63
2019522.2626,20623.83,9758.95,14640.05,41382.6
2019522.2666,20613.82,9761.19,14647.58,41393.71
2019522.2706,20599.08,9769.49,14671.28,41417.27
2019522.2746,20591.55,9774.07,14682.68,41428.48
2019522.2786,20617.73,9769.92,14668.66,41412.88
2019522.2826,20644.29,9767.01,14653.73,41395.76
2019522.2866,20632.7,9771.97,14661.46,41399.1
2019522.2906,20614.44,9782.74,14675.19,41413.74
2019522.2946,20604.85,9786.85,14680.82,41422.09
2019522.2986,20624.59,9788.47,14672.09,41413.46
2019522.3026,20646.53,9783.03,14659.6,41400.39
