TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019522.0364,440.176,804.041,378.688,-166.25,-1820.0,-35.0,836.0,-630.8,-370.88
2019522.0864,443.47,807.152,377.224,-17.5,-1837.5,-280.0,863.36,-626.24,-386.08
2019522.1364,443.958,805.566,377.712,-113.75,-1286.25,113.75,849.68,-620.16,-372.4
2019522.1864,442.921,805.078,379.847,-481.25,-1697.5,-595.0,849.68,-633.84,-380.0
2019522.2364,438.956,801.296,378.139,-131.25,-2082.5,-385.0,837.52,-629.28,-384.56
2019522.2864,442.128,803.004,377.407,183.75,-1356.25,78.75,839.04,-635.36,-383.04
2019522.3364,439.688,806.298,380.091,131.25,-1268.75,-87.5,860.32,-630.8,-380.0
2019522.3864,439.749,806.786,376.187,-315.0,-1566.25,122.5,840.56,-611.04,-363.28
2019522.4364,441.945,804.407,377.346,-385.0,-1872.5,140.0,845.12,-646.0,-378.48
2019522.4864,439.932,805.993,379.115,-113.75,-1802.5,-350.0,849.68,-624.72,-383.04
2019522.5364,442.738,804.407,380.945,-910.0,-2345.0,350.0,839.04,-635.36,-386.08
2019522.5864,441.823,799.649,382.775,-630.0,-2397.5,-140.0,846.64,-629.28,-384.56
2019522.6364,444.629,798.185,385.337,-656.25,-2362.5,148.75,864.88,-626.24,-364.8
2019522.6864,447.862,800.076,383.385,-393.75,-2047.5,131.25,849.68,-632.32,-370.88
2019522.7364,447.008,795.501,385.215,26.25,-1837.5,-603.75,845.12,-629.28,-386.08
2019522.7864,442.677,803.492,382.592,498.75,-1268.75,-1373.75,855.76,-629.28,-370.88
2019522.8364,436.15,801.662,380.518,953.75,-1391.25,-411.25,863.36,-626.24,-389.12
2019522.8864,443.104,804.834,376.797,1050.0,-1295.0,-253.75,836.0,-633.84,-364.8
2019522.9364,438.285,805.383,375.272,866.25,-848.75,26.25,851.2,-624.72,-369.36
2019522.9864,435.967,806.664,375.089,428.75,-1452.5,393.75,867.92,-620.16,-386.08
2019523.0364,447.435,806.298,379.786,-43.75,-1645.0,26.25,846.64,-633.84,-364.8
2019523.0864,448.35,803.248,379.603,43.75,-1120.0,-350.0,854.24,-627.76,-354.16
2019523.1364,440.42,804.102,377.346,-26.25,-1128.75,-551.25,857.28,-635.36,-364.8
2019523.1864,438.346,802.272,379.237,-26.25,-1688.75,-507.5,826.88,-621.68,-375.44
2019523.2364,443.897,803.431,380.335,96.25,-1513.75,-656.25,864.88,-630.8,-372.4
2019523.2864,440.786,807.823,376.858,-61.25,-953.75,-883.75,858.8,-623.2,-387.6
2019523.3364,437.614,807.213,381.311,-533.75,-1522.5,0.0,852.72,-633.84,-373.92
2019523.3865,441.457,803.919,377.407,-673.75,-1653.75,52.5,852.72,-638.4,-380.0
2019523.4364,442.616,800.503,383.385,-280.0,-1566.25,148.75,854.24,-623.2,-366.32
2019523.4864,440.359,804.346,382.409,-148.75,-1505.0,-367.5,849.68,-633.84,-393.68
2019523.5364,442.25,802.272,382.226,105.0,-1478.75,-315.0,842.08,-630.8,-361.76
2019523.5864,440.298,806.603,381.311,-218.75,-1295.0,-542.5,861.84,-630.8,-361.76
2019523.6364,439.2,802.699,384.666,350.0,-1426.25,-332.5,846.64,-624.72,-384.56
2019523.6864,440.42,804.59,379.908,376.25,-1470.0,-700.0,848.16,-629.28,-369.36
2019523.7364,436.089,804.163,377.956,297.5,-1268.75,-367.5,863.36,-638.4,-373.92
2019523.7864,433.466,805.688,378.078,87.5,-1531.25,-341.25,852.72,-632.32,-370.88
2019523.8364,437.248,802.455,379.359,-70.0,-1618.75,245.0,851.2,-638.4,-370.88
2019523.8863,439.505,805.261,380.701,-35.0,-1207.5,463.75,843.6,-629.28,-369.36
2019523.9364,439.383,804.102,382.653,-96.25,-1120.0,455.0,857.28,-633.84,-380.0
2019523.9863,439.261,800.259,381.25,-192.5,-1566.25,148.75,852.72,-630.8,-381.52
2019524.0364,437.675,804.895,379.969,26.25,-1942.5,17.5,851.2,-642.96,-386.08
2019524.0864,441.213,805.871,379.42,140.0,-1601.25,-560.0,851.2,-624.72,-360.24
2019524.1364,440.176,804.529,380.945,-148.75,-1478.75,428.75,843.6,-627.76,-380.0
2019524.1864,442.616,800.808,380.945,-35.0,-1732.5,315.0,855.76,-635.36,-383.04
2019524.2364,442.555,801.784,382.653,-43.75,-1478.75,122.5,857.28,-624.72,-367.84
2019524.2863,445.361,802.15,383.995,-35.0,-1365.0,-105.0,861.84,-627.76,-378.48
2019524.3364,441.701,799.222,381.616,87.5,-1417.5,-840.0,840.56,-627.76,-375.44
2019524.3863,441.274,806.725,379.42,743.75,-1111.25,-1111.25,849.68,-624.72,-375.44
2019524.4364,437.797,805.566,384.117,323.75,-1391.25,-455.0,857.28,-630.8,-367.84
2019524.4864,437.98,804.285,380.274,673.75,-1382.5,-857.5,842.08,-627.76,-357.2
2019524.5364,434.564,804.102,376.431,577.5,-1260.0,-927.5,864.88,-632.32,-383.04
2019524.5864,432.612,807.823,379.481,175.0,-1435.0,-253.75,858.8,-639.92,-384.56
2019524.6364,433.954,807.213,379.969,52.5,-1347.5,-122.5,851.2,-632.32,-375.44
